country	year	month-01	month-02	month-03	month-04	month-05	month-06	month-07	month-08	month-09	month-10	month-11	month-12
AFG	2018	83	150	112	40	108	44	47	78	34	41	52	72
ALB	2018	14	15	5	16	12	15	11	19	14	13	12	31
DZA	2018	38	35	28	24	12	19	24	71	27	20	27	43
AND	2018	4	6	2	3	6	0	5	16	3	3	1	4
AGO	2018	0	1	2	1	0	0	0	0	2	1	1	1
ATG	2018	1	5	2	2	1	1	2	1	1	1	0	3
ARG	2018	236	254	271	300	122	50	71	54	92	87	169	103
ARM	2018	180	87	75	66	53	87	105	102	123	88	79	165
AUS	2018	9452	5693	8932	14023	4873	9997	8801	8239	8746	6912	10299	14961
AUT	2018	2833	3156	2573	1103	637	543	1642	1216	875	1036	1692	2014
AZE	2018	78	30	109	19	16	13	30	30	24	36	19	108
BHS	2018	1	4	4	24	6	1	0	5	3	0	0	0
BHR	2018	588	147	195	151	108	245	392	432	99	90	103	308
BGD	2018	982	741	996	672	729	1030	857	1060	771	894	736	1019
BRB	2018	4	2	3	3	3	0	0	1	0	2	0	0
BLR	2018	802	942	666	286	128	122	71	96	174	256	500	578
BEL	2018	1275	1449	1666	1211	494	785	3681	1994	1384	816	1045	1719
BLZ	2018	2	1	1	2	0	0	1	1	0	6	0	2
BEN	2018	1	0	0	0	0	0	1	1	2	1	1	4
BTN	2018	110	72	37	42	30	41	49	48	38	29	47	136
BOL	2018	6	5	17	9	2	8	4	9	6	4	5	6
BIH	2018	20	45	25	18	8	16	15	9	13	19	30	43
BWA	2018	9	4	4	4	0	3	4	5	1	0	1	13
BRA	2018	226	156	357	786	124	116	117	98	102	125	298	269
BRN	2018	4	3	17	6	6	5	13	10	4	7	5	11
BGR	2018	277	381	352	218	87	85	110	96	93	135	223	607
BFA	2018	2	1	0	4	1	0	1	1	3	2	0	4
BDI	2018	1	0	0	0	0	0	1	1	1	11	1	2
KHM	2018	85	85	103	142	84	38	51	35	37	28	64	19
CMR	2018	2	0	1	1	0	4	2	2	4	5	2	1
CAN	2018	5682	3999	5113	4972	3297	4676	6017	5440	2903	2406	3496	4680
CPV	2018	1	0	0	0	0	0	2	1	1	0	0	1
CAF	2018	0	0	0	0	0	0	1	0	0	0	0	0
TCD	2018	0	0	0	0	0	0	1	1	0	0	2	0
CHL	2018	99	104	109	147	55	43	64	59	55	59	119	89
CHN	2018	24275	35929	21101	17462	17103	20424	27460	26558	19600	18882	18888	18283
COL	2018	52	59	72	88	33	32	53	52	43	52	53	113
COM	2018	8	5	14	10	9	9	47	36	16	15	20	2
COD	2018	1	2	5	4	3	4	1	3	3	3	0	4
COG	2018	0	1	0	0	0	0	1	1	2	0	2	0
CRI	2018	9	20	14	13	3	3	0	15	26	6	3	20
CIV	2018	1	3	1	1	2	2	3	2	1	1	2	1
HRV	2018	481	276	209	163	92	70	129	125	83	112	147	294
CUB	2018	3	2	5	6	3	3	2	1	4	3	12	8
CYP	2018	55	53	51	45	43	44	91	98	37	32	51	72
CZE	2018	2257	3082	2674	1304	322	571	1050	637	889	688	1898	2228
DNK	2018	3013	3228	2227	943	456	959	2951	925	576	994	943	2008
DJI	2018	1	1	4	1	0	0	0	0	0	1	0	1
DMA	2018	4	9	3	3	1	3	4	3	1	1	7	10
DOM	2018	4	1	3	2	6	8	6	3	0	4	5	3
ECU	2018	7	15	10	43	0	5	2	12	8	13	5	16
EGY	2018	433	281	278	254	161	278	466	391	230	225	339	518
SLV	2018	7	3	2	6	0	5	12	2	1	3	1	5
ERI	2018	8	12	10	3	4	5	3	2	7	2	3	12
EST	2018	435	586	359	144	32	34	28	56	34	197	205	634
ETH	2018	18	19	24	12	28	9	22	17	10	13	21	14
FJI	2018	19	5	18	6	10	10	16	17	17	12	13	16
FIN	2018	1854	1499	1036	371	230	298	242	211	231	368	688	1860
FRA	2018	12221	16871	14818	7411	3721	3688	11303	11016	4316	4784	6825	9475
GAB	2018	0	2	0	0	0	1	1	1	0	0	0	0
GMB	2018	1	1	0	0	1	1	1	2	0	0	0	1
GEO	2018	85	82	63	82	44	26	37	35	79	48	56	60
DEU	2018	15298	17066	24423	10803	6906	5792	10825	10809	9668	9920	18754	16624
GHA	2018	9	6	13	10	8	9	8	6	14	22	15	7
GRC	2018	644	573	770	704	620	489	570	763	511	524	726	884
GRD	2018	1	1	0	3	2	3	0	0	0	1	2	2
GTM	2018	9	4	5	5	4	3	5	6	7	6	3	3
GUY	2018	0	2	9	2	1	0	2	2	0	0	4	0
GNB	2018	1	0	0	0	0	0	0	3	1	1	1	4
HTI	2018	1	1	2	0	0	1	1	1	2	0	1	0
HND	2018	9	3	5	0	5	2	3	3	4	8	2	5
HKG	2018	2	4	3	1	0	1	3	3	4	4	0	0
HUN	2018	894	870	517	231	103	138	163	183	147	337	301	630
ISL	2018	51	63	44	39	11	18	51	31	23	21	39	55
IND	2018	37936	32914	30583	29860	42073	32971	31032	32115	32300	38169	39137	45797
IDN	2018	535	350	589	352	470	349	468	471	381	472	414	514
IRN	2018	507	439	1716	239	268	332	710	580	230	255	196	248
IRQ	2018	81	157	41	40	38	134	78	124	126	38	70	94
IRL	2018	975	839	1470	922	384	710	1104	823	758	635	890	1320
ISR	2018	1321	1253	1255	513	399	699	1345	1976	2778	466	703	1125
ITA	2018	5348	4843	4157	2266	1058	1367	3247	5747	1654	1540	1976	5176
JAM	2018	9	7	22	8	6	7	7	14	7	4	4	7
JPN	2018	4694	5263	4629	3512	4229	3074	3798	5625	4480	2831	2658	4657
JOR	2018	366	254	299	241	117	268	230	314	200	181	294	392
KAZ	2018	674	407	370	158	73	67	112	77	132	86	134	431
KEN	2018	64	35	48	49	59	44	95	61	55	111	58	195
KIR	2018	1	0	0	0	0	1	1	0	0	0	0	0
XKX	2018	0	3	2	8	0	1	5	3	6	0	0	4
KWT	2018	545	403	240	249	143	226	335	599	154	157	201	213
KGZ	2018	109	46	107	10	17	28	28	14	18	18	17	47
LAO	2018	9	7	20	13	39	7	3	23	7	10	16	4
LVA	2018	268	219	261	172	73	73	33	56	124	102	235	324
LBN	2018	358	542	561	676	225	365	546	630	367	179	427	645
LSO	2018	0	0	0	4	0	0	2	1	0	0	0	0
LBR	2018	0	0	1	1	4	1	0	0	2	3	0	0
LBY	2018	7	8	8	9	9	13	6	6	8	10	8	5
LIE	2018	5	10	23	10	6	5	13	6	7	6	11	24
LTU	2018	382	570	402	241	203	224	163	118	142	231	288	422
LUX	2018	87	77	112	78	20	17	82	177	41	29	68	79
MKD	2018	44	34	34	20	13	15	38	19	26	16	16	35
MDG	2018	5	6	4	8	8	3	8	9	23	3	9	11
MWI	2018	5	1	7	1	3	0	3	1	3	2	2	6
MYS	2018	1735	1744	1994	1827	1604	2389	1666	2101	1903	1437	2101	2307
MDV	2018	6124	4726	7239	5696	4343	5362	6348	6880	4695	5223	7418	12054
MLI	2018	2	1	0	2	1	0	2	1	1	2	4	1
MLT	2018	47	35	68	34	13	14	53	51	56	13	38	87
MHL	2018	0	1	0	0	1	0	0	1	0	0	1	0
MRT	2018	1	1	1	0	0	0	0	0	0	0	0	0
MUS	2018	56	100	60	40	24	34	72	32	79	28	97	98
MEX	2018	84	87	180	496	72	60	76	68	73	79	112	116
FSM	2018	0	1	0	0	0	0	0	0	0	1	0	1
MDA	2018	100	56	68	30	18	11	14	23	26	11	42	53
MCO	2018	5	7	9	1	1	1	2	8	0	2	1	24
MNG	2018	21	9	23	10	6	10	21	8	24	9	22	18
MNE	2018	17	21	14	11	11	24	8	18	17	11	65	14
MAR	2018	86	101	97	98	31	60	72	127	63	73	81	147
MOZ	2018	2	24	1	2	0	1	3	5	2	4	1	7
MMR	2018	372	123	172	309	113	127	230	695	159	138	372	431
NER	2018	0	0	1	0	0	0	0	0	0	0	0	0
NAM	2018	5	3	19	6	1	5	0	6	3	3	0	20
NRU	2018	0	1	0	0	0	0		0	0	0	0	0
NPL	2018	566	401	367	366	472	444	352	444	377	642	391	480
NLD	2018	5061	4739	4532	3989	2051	2350	13342	6182	4049	3222	3320	4323
not found	2018	0	0	1	0	0	0	0	0	0	0	0	0
NZL	2018	989	655	1004	1540	620	1613	1376	1091	923	947	1129	1938
NIC	2018	4	0	5	6	1	1	2	0	1	2	3	3
NER	2018	0	0	0	1	1	0	2	0	1	0	0	0
NGA	2018	44	38	42	28	39	22	24	28	47	36	37	27
PRK	2018	0	2	0	0	0	0	0	0	0	0	0	0
NOR	2018	1851	1722	1784	690	511	2272	3067	952	605	821	1090	1852
OMN	2018	842	573	268	306	84	539	2171	965	305	209	310	274
PAK	2018	2099	1734	1589	1384	1150	1454	1924	1709	1225	1381	1401	2066
PLW	2018	0	0	0	0	0	0	0	5	0	0	0	0
PSE	2018	114	65	62	51	52	113	167	163	60	77	74	80
PAN	2018	5	7	2	10	3	5	0	3	1	5	9	4
PNG	2018	5	0	11	7	2	6	8	18	3	3	8	13
PRY	2018	0	0	7	3	0	1	1	2	0	3	2	3
PER	2018	27	50	32	32	21	6	20	21	20	20	20	32
PHL	2018	1667	1744	1775	1631	1656	1673	1681	1723	1306	1460	1560	1427
POL	2018	3254	3195	1676	1163	661	710	1281	1021	1117	1109	2658	2533
PRT	2018	486	581	537	524	191	253	337	653	334	601	574	862
QAT	2018	268	75	63	111	53	183	267	379	56	59	51	111
ROU	2018	935	943	561	469	150	205	211	280	303	349	483	1042
RUS	2018	11569	11043	9089	4027	1264	1135	1162	1174	1590	3096	8090	11258
RWA	2018	1	3	1	0	1	0	1	6	0	1	1	3
KNA	2018	6	3	4	2	3	0	1	9	3	4	2	10
LCA	2018	0	2	0	1	0	1	0	1	0	1	0	1
VCT	2018	0	0	2	1	0	0	0	0	0	0	0	0
WSM	2018	0	0	0	0	1	1	1	0	1	0	0	0
SMR	2018	1	16	7	0	0	2	0	0	1	0	0	1
STP	2018	0	0	0	0	0	1	0	0	0	0	0	0
SAU	2018	4397	1065	997	1263	666	5422	8409	6517	1432	1030	849	2656
SEN	2018	5	6	4	2	4	3	3	4	3	1	3	2
SRB	2018	285	282	184	123	47	60	89	115	74	74	178	293
SYC	2018	0	0	0	411	0	2	0	0	2	0	0	1
SLE	2018	1	1	2	1	0	1	3	1	3	3	3	0
SGP	2018	1387	1469	1809	1357	1461	1979	1563	1904	1520	1219	1669	2524
SVK	2018	760	820	896	494	153	145	218	259	205	267	543	529
SVN	2018	380	754	271	453	51	107	428	185	174	417	195	487
not found	2018	1	0	0	1	0	5	0	3	1	2	0	0
SOM	2018	9	6	9	5	3	11	6	4	12	4	9	14
ZAF	2018	588	562	791	742	259	520	598	457	413	354	380	1752
KOR	2018	2493	1359	1398	825	892	963	1444	1583	970	1066	1444	1311
SSD	2018	0	1	0	2	1	0	0	1	5	0	0	7
ESP	2018	1388	1680	2452	2072	1002	1516	3357	5782	2926	2178	2604	2251
SDN	2018	59	49	53	37	52	100	115	67	142	24	88	72
SUR	2018	1	3	0	1	1	1	0	5	8	4	4	0
SWZ	2018	0	1	1	9	1	0	2	0	0	0	1	1
SWE	2018	5586	4533	3109	1073	471	889	1206	665	651	1234	2016	6834
CHE	2018	3104	3234	3682	2845	1128	1342	5460	1744	1824	1974	3531	4097
SYR	2018	19	8	24	32	6	3	2	5	13	25	23	49
TWN	2018	928	1152	700	607	565	412	924	794	474	465	569	597
TJK	2018	25	7	25	8	3	4	4	0	7	6	11	2
TZA	2018	18	20	16	15	16	29	13	25	10	18	22	25
THA	2018	785	566	1028	691	745	870	807	823	658	581	593	1031
TLS	2018	1	3	3	5	1	2	9	16	3	3	1	1
TGO	2018	3	0	0	2	0	1	1	0	1	2	0	0
TON	2018	0	0	0	0	0	1	2	2	0	2	1	2
TTO	2018	5	9	10	8	4	9	16	2	7	6	21	8
TUN	2018	71	62	105	56	29	39	49	45	57	29	66	104
TUR	2018	658	632	365	244	288	169	249	375	181	234	236	631
TKM	2018	15	9	11	3	1	0	13	5	1	8	5	6
TUV	2018	0	0	0	2	0	3	1	0	0	1	0	0
UGA	2018	15	22	5	5	6	5	13	11	6	16	19	13
UKR	2018	6636	5138	3532	2448	1386	1191	1409	1513	2292	2687	3449	4834
ARE	2018	336	247	420	291	230	488	1199	1045	279	296	412	542
GBR	2018	22940	23817	30366	26063	9337	12104	25208	23643	14226	17673	21971	26828
USA	2018	7501	5984	9701	8679	4123	4979	7164	4410	4406	3714	5799	8848
URY	2018	13	3	16	34	6	3	3	8	7	7	9	11
UZB	2018	69	88	48	24	26	30	70	36	74	40	44	47
VUT	2018	0	1	1	4	1	3	2	2	1	1	1	0
VAT	2018	0	0	0	0	0	0	0	0	0	0	0	0
VEN	2018	12	18	18	40	16	11	11	33	11	18	13	26
VNM	2018	237	380	330	342	269	212	241	298	222	272	200	186
YEM	2018	126	69	64	62	62	156	249	244	57	76	74	128
ZMB	2018	2	7	12	3	6	5	11	5	6	8	45	9
ZWE	2018	10	19	27	11	16	9	46	19	35	12	17	26
AFG	2019	49	47	59	38	2	12	47	54	50	22	55	38
ALB	2019	48	33	54	43	40	31	17	15	11	23	27	27
DZA	2019	34	32	36	32	3	8	3	17	29	16	13	49
AND	2019	2	3	5	9	4	0	7	7	2	7	2	5
AGO	2019	4	2	0	0	0	0	0	0	3	5	2	1
ATG	2019	1	2	7	2	0	0	0	2	0	0	5	0
ARG	2019	192	158	190	267	42	33	47	43	44	53	142	192
ARM	2019	156	92	85	65	12	16	41	81	109	91	78	157
AUS	2019	10368	8810	11441	9565	2485	4410	5619	5985	6895	5562	7067	14467
AUT	2019	2288	2709	1932	1656	144	251	848	667	502	543	1349	1824
AZE	2019	53	64	151	17	15	9	32	24	20	15	35	81
BHS	2019	2	2	2	4	0	0	0	0	2	1	0	1
BHR	2019	394	162	150	141	17	121	283	318	140	108	194	257
BGD	2019	946	731	848	593	186	509	631	804	693	665	626	1029
BRB	2019	4	1	3	0	1	0	1	0	3	1	2	1
BLR	2019	997	930	914	142	31	24	46	88	75	225	662	662
BEL	2019	1278	1681	1646	1626	153	561	2603	1508	1082	561	933	1316
BLZ	2019	4	2	3	2	0	0	2	3	1	1	5	2
BEN	2019	0	0	1	1	0	1	1	0	0	1	2	0
BTN	2019	37	74	25	9	11	12	23	13	23	43	38	35
BOL	2019	4	2	4	3	0	0	2	2	3	2	1	7
BIH	2019	32	33	29	14	8	9	5	15	14	10	13	34
BWA	2019	7	4	2	2	2	2	2	2	0	2	3	9
BRA	2019	330	233	310	637	46	74	122	75	115	106	318	598
BRN	2019	4	11	6	2	0	5	0	2	5	2	2	1
BGR	2019	341	478	375	246	49	196	67	75	67	121	268	391
BFA	2019	0	1	4	0	0	0	1	1	2	1	0	2
BDI	2019	1	1		0	0	0	0	0		0	0	1
KHM	2019	128	745	1592	20	48	27	41	22	36	22	94	66
CMR	2019	0	1	1	1	0	1	1	2	1	2	1	1
CAN	2019	5840	6469	6011	3741	1575	2827	3826	4052	2438	2385	3053	6512
CPV	2019	0	0	1	0	0	0	0	0	1	2	2	0
TCD	2019	0	0	4	0	0	1	1	0		0	0	0
CHL	2019	132	204	85	100	33	24	36	29	59	41	65	130
CHN	2019	26414	28039	23759	14263	1589	3496	6926	9503	9231	11683	16312	16648
COL	2019	88	68	67	72	33	44	34	36	57	46	58	110
COM	2019	20	5	22	11	0	7	22	13	10	5	7	6
COD	2019	6	7	3	2	1	1	1	0	1	2	6	3
COG	2019	1	0	0	0	1	0	0	0		0	0	1
CRI	2019	21	21	13	13	2	1	5	9	8	9	6	35
CIV	2019	0	3	1	7	2	1	3	2	4	0	3	8
HRV	2019	452	289	218	186	30	38	64	94	66	73	147	265
CUB	2019	2	2	7	1	0	2	5	1	2	4	3	12
CYP	2019	68	66	73	68	17	26	56	114	32	27	44	118
CZE	2019	2787	4449	3041	1370	167	380	997	585	663	700	1631	2434
DNK	2019	3059	3980	1845	1887	119	481	1741	497	416	636	763	1445
DJI	2019	1	0	0	0	0	0	1	4	0	1	1	1
DMA	2019	6	5	7	6	0	7	3	5	4	5	5	9
DOM	2019	5	3	9	3	0	2	3	7	7	4	44	24
ECU	2019	14	11	12	10	2	3	3	11	8	3	10	31
EGY	2019	320	304	364	487	85	168	221	296	265	290	423	485
SLV	2019	1	5	5	4	1	3	4	3	5	6	6	3
ERI	2019	3	3	6	3	1	4	4	1	2	8	5	2
EST	2019	501	559	268	143	17	11	39	19	23	167	156	613
ETH	2019	9	11	19	16	3	11	9	15	9	7	16	14
FJI	2019	23	17	17	13	5	7	10	5	10	10	14	13
FIN	2019	1589	1668	1007	364	58	167	153	112	104	216	446	1144
FRA	2019	11892	17295	13957	9148	1120	1989	7142	7087	2929	3383	4857	6824
GAB	2019	1	0	0	0	0	0	0	1	1	0	0	2
GMB	2019	1	0	1	0	1	0	0	0	1	2	1	0
GEO	2019	102	64	53	26	18	23	39	34	26	58	66	56
DEU	2019	14027	17268	18134	16930	1767	3312	8385	7667	6396	7820	20844	12349
GHA	2019	8	6	13	29	4	1	3	8	11	4	13	8
GRC	2019	766	694	643	619	419	387	475	515	495	507	539	921
GRD	2019	0	2	2	0	0	0	0	0	1	0	1	0
GTM	2019	7	8	9	6	0	4	2	5	3	4	15	6
GIN	2019	0	2	0	1	0	0	1	0	4	2	2	0
GNB	2019	0	2	0	0	0	0	0	0	1	0	1	0
GUY	2019	6	1	1	1	0	0	0	0	1	2	0	0
HTI	2019	1	0	1	3	0	0	1	0	0	0	1	2
HND	2019	16	8	4	4	9	4	2	5	2	1	11	10
HKG	2019	0	2	0	6	0	1	0	1	0	0	0	1
HUN	2019	845	856	623	267	66	53	102	90	99	169	322	599
ISL	2019	65	112	57	29	10	10	12	8	13	33	47	31
IND	2019	40049	32286	34812	23431	11246	15048	18309	37568	28917	33217	31677	48442
IDN	2019	490	484	532	256	227	278	339	479	519	454	318	543
IRN	2019	204	326	1025	205	51	73	104	117	253	394	220	277
IRQ	2019	95	54	113	58	7	23	64	133	49	76	92	88
IRL	2019	1067	1110	1224	1105	111	256	417	472	315	484	627	1066
ISR	2019	1899	1532	1077	1266	308	429	1245	1785	1576	1411	760	1482
ITA	2019	6433	5363	4309	3303	452	675	1431	3340	1016	947	3917	4961
JAM	2019	2	7	14	12	0	2	7	3	1	2	0	8
JPN	2019	3553	4878	4611	2203	578	880	1311	2428	2250	1832	1825	3730
JOR	2019	370	240	295	342	23	161	182	268	146	193	348	517
KAZ	2019	509	327	266	109	13	32	41	35	58	91	220	698
KEN	2019	68	58	41	52	16	24	37	615	427	30	59	132
KIR	2019	0	0	0	2	0	0	0	0	2	1	0	0
not found	2019	1	9	0	1	0	0	1	3	5	3	4	4
KWT	2019	545	467	246	247	37	159	331	520	98	123	135	331
KGZ	2019	91	43	54	36	8	7	11	17	21	13	12	84
LAO	2019	7	13	22	18	2	6	5	8	11	8	25	4
LVA	2019	373	282	274	97	30	25	26	32	51	125	227	314
LBN	2019	389	410	576	661	77	184	291	410	287	163	377	479
LSO	2019	3	1	0	0	1	0	1	1		1	3	2
LBR	2019	1	0	1	0	0	0	0	3	1	0	0	1
LBY	2019	11	8	12	21	8	10	2	3	9	8	11	15
LIE	2019	6	9	13	11	6	1	19	4	4	3	15	17
LTU	2019	451	574	399	140	45	51	79	75	72	159	363	385
LUX	2019	69	75	85	220	7	10	70	82	14	20	51	58
MKD	2019	28	18	26	19	2	8	7	10	4	7	23	14
MDG	2019	11	7	3	5	2	6	3	113	42	5	5	5
MWI	2019	6	0	2	2	0	0	2	0	3	4	10	11
MYS	2019	1481	2070	1998	995	754	857	1026	1533	1461	1248	1461	1977
MDV	2019	6004	4931	7802	4655	1610	3350	3875	4930	4304	3934	5850	9033
MLI	2019	6	0	5	1	0	0	2	0	1	2	2	0
MLT	2019	105	120	84	53	5	1	39	66	33	24	42	141
MHL	2019	0	1	0	0	0	1	0	0		0	0	0
MRT	2019	18	2	0	2	0	0	3	0	1	2	1	0
MUS	2019	100	50	97	52	4	11	35	35	25	19	25	286
MEX	2019	144	133	243	349	33	31	49	53	64	76	96	849
FSM	2019	0	0	0	0	0	0	0	0	1	0	0	1
MDA	2019	87	83	82	16	3	15	7	14	20	19	29	74
MCO	2019	6	2	2	17	0	0	2	7	1	0	0	5
MNG	2019	31	20	37	3	6	4	6	4	11	4	4	37
MNE	2019	27	9	29	14	5	52	2	23	4	11	14	20
MAR	2019	128	96	147	100	6	44	48	86	69	49	93	165
MOZ	2019	4	4	3	1	0	0	1	5	6	0	3	15
MMR	2019	248	274	310	159	163	149	185	653	265	199	234	285
NAM	2019	2	5	0	5	0	0	2	1	1	1	6	4
NRU	2019	0	0	1	0	0	0	0	0		0	0	0
NPL	2019	495	467	417	449	331	262	409	398	425	656	509	596
NLD	2019	5101	5126	4864	3523	375	696	6385	3520	2673	1659	2213	2858
NZL	2019	1067	1070	1437	1483	385	615	1003	993	954	663	930	1863
NIC	2019	1	0	3	1	0	1	0	1	0	0	0	4
NER	2019	0	0	0	0	0	1	1	0	3	0	1	0
NGA	2019	43	13	16	4	4	5	20	8	17	13	13	16
PRK	2019	0	0	1	0	0	0	0	0	34	0	0	0
NOR	2019	1906	2053	1278	1246	172	1299	1709	675	522	452	747	1387
OMN	2019	564	355	324	282	15	324	890	326	193	162	364	318
PAK	2019	1543	1496	1081	848	169	521	782	2836	1849	1060	1039	1431
PSE	2019	77	58	74	111	13	55	65	142	67	42	68	99
PAN	2019	8	15	0	2	0	1	2	0	4	0	12	1
PNG	2019	3	0	2	1	1	0	2	6	12	3	33	35
PRY	2019	1	3	2	2	1	0	2	4	2	0	3	2
PER	2019	33	33	44	39	9	16	17	15	22	18	14	40
PHL	2019	1244	1485	1413	1308	759	998	1102	1121	1372	1285	1329	1174
POL	2019	3840	3302	2653	914	218	284	763	558	702	805	3496	3361
PRT	2019	452	592	806	673	94	164	243	431	251	312	520	655
QAT	2019	65	119	115	220	7	32	115	135	31	41	40	143
ROU	2019	891	913	679	444	88	129	167	293	209	225	488	937
