country	year	month-01	month-02	month-03	month-04	month-05	month-06	month-07	month-08	month-09	month-10	month-11	month-12
TON	2021	0	0	0	0	0	0	0	0	0	0	0	1
TLS	2021	0	0	0	0	0	0	0	0	0	0	0	0
TGO	2021	0	0	0	0	0	0	0	0	0	0	0	2
TTO	2021	0	0	0	0	0	0	0	0	2	2	9	3
TUN	2021	0	0	0	1	0	0	5	0	2	5	13	55
TUR	2021	1	3	15	11	9	3	6	8	16	31	65	141
TKM	2021	0	1	0	0	0	0	0	0	0	0	2	1
UGA	2021	0	0	0	2	0	0	0	0	1	2	2	2
UKR	2021	1460	845	287	47	18	9	13	20	43	168	565	3562
ARE	2021	0	0	4	7	6	0	3	0	0	5	60	169
GBR	2021	3	79	316	334	149	121	342	489	309	2241	3770	8493
USA	2021	10	75	182	248	153	118	242	311	150	573	1178	2884
URY	2021	0	0	1	0	0	0	0	0	0	0	3	9
UZB	2021	0	5	10	5	5	1	6	0	0	6	15	52
VUT	2021	0	0	0	0	0	0	2	0	0	1	3	0
VEN	2021	0	0	0	0	0	0	0	0	1	1	2	4
VNM	2021	0	0	5	2	5	0	1	1	2	4	8	24
YEM	2021	0	0	0	2	2	0	0	1	0	4	26	21
ZMB	2021	0	0	0	0	0	1	0	0	0	0	0	0
ZWE	2021	0	0	0	0	0	0	0	0	1	0	2	4
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
AFG	2022	0	2	16	0	1	0	2	0	0	0	7	11
ALB	2022	21	7	10	6	7	8	4	2	2	3	3	10
DZA	2022	6	24	31	8	15	9	10	9	10	12	11	29
AND	2022	0	1	3	0	2	1	2	13	0	0	0	3
ATA	2022	0	0	0	0	0	0	0	0	0	0	0	1
AGO	2022	2	2	3	2	0	0	1	0	3	0	0	0
ATG	2022	2	0	3	1	2	1	1	2	0	1	2	1
ARG	2022	29	25	38	27	14	7	8	4	4	17	40	55
ARM	2022	56	89	74	56	26	14	25	15	37	57	86	244
AUS	2022	2814	1688	2359	3508	1660	2511	1974	1898	2309	2106	2939	5158
AUT	2022	788	1054	887	575	189	109	299	206	152	239	424	619
AZE	2022	65	75	366	29	21	9	11	37	9	15	55	89
BHS	2022	0	0	0	0	0	1	0	0	0	0	1	0
BHR	2022	59	49	80	22	51	42	36	22	14	28	19	88
BGD	2022	302	259	451	155	249	129	176	168	338	417	511	662
BRB	2022	0	3	0	0	1	0	0	0	1	0	2	6
BLR	2022	736	823	515	129	68	34	35	46	54	143	456	582
BEL	2022	495	620	761	846	212	259	1115	475	316	274	279	512
BLZ	2022	1	0	1	0	0	0	0	0	0	0	0	0
BEN	2022	0	0	0	1	0	0	0	0	0	0	0	0
BTN	2022	30	11	6	2	1	3	3	30	8	5	31	9
BOL	2022	6	1	3	8	2	2	0	2	3	5	3	2
BIH	2022	15	27	28	11	5	1	0	4	0	2	5	6
BWA	2022	5	0	0	1	2	0	3	0	0	0	0	4
BRA	2022	49	48	87	135	42	27	34	32	40	27	51	97
BRN	2022	0	0	0	0	1	0	0	6	2	1	2	4
BGR	2022	305	547	396	146	15	13	13	25	22	18	30	113
BFA	2022	1	0	0	0	0	0	0	0	0	0	0	0
KHM	2022	21	22	2	4	6	2	14	3	8	12	43	20
CMR	2022	1	1	2	0	0	0	0	2	0	1	0	0
CAN	2022	1666	1958	2989	2083	2013	2308	3458	2581	1552	1625	1994	2618
CPV	2022	2	2	1	1	0	0	0	0	0	0	0	0
TCD	2022	0	2	0	0	1	0	0	1	0	0	0	1
CHL	2022	29	14	30	12	16	5	7	4	7	12	23	23
CHN	2022	226	266	358	261	242	231	266	534	637	468	591	635
COL	2022	20	28	40	61	37	12	8	20	11	23	17	27
COM	2022	2	1	2	1	2	2	0	0	1	1	1	3
COG	2022	3	1	3	1	0	0	2	0	1	1	2	0
CRI	2022	4	11	7	5	1	1	0	2	0	0	3	6
CIV	2022	0	0	0	0	0	0	1	0	0	0	0	0
HRV	2022	60	67	73	23	8	8	13	8	8	8	21	41
CUB	2022	1	1	4	7	1	1	2	0	0	0	0	2
CYP	2022	39	25	48	54	11	17	19	73	19	19	28	38
CZE	2022	1174	2055	1802	686	83	151	217	95	53	150	355	529
DNK	2022	1013	1217	1187	1307	295	275	457	235	164	265	312	551
DJI	2022	0	1	1	1	3	0	0	0	0	0	1	0
DMA	2022	3	4	6	4	0	0	2	3	0	2	7	6
DOM	2022	2	0	0	3	0	0	0	0	0	1	1	1
ECU	2022	2	4	7	4	6	12	1	3	5	2	5	8
EGY	2022	217	453	445	170	211	84	136	41	53	173	137	220
SLV	2022	0	4	3	3	0	3	1	3	1	2	2	3
GNQ	2022	0	0	0	0	2	1	0	0	0	0	0	0
ERI	2022	2	2	1	0	3	0	0	1	0	0	2	1
EST	2022	185	285	210	64	12	5	8	2	10	58	28	111
ETH	2022	3	4	5	3	11	6	3	0	2	3	2	14
FJI	2022	0	0	6	0	1	1	3	3	8	4	3	19
FIN	2022	271	298	181	169	45	95	59	40	28	78	77	159
FRA	2022	3616	5699	5741	4035	1076	1717	3567	2784	1201	1540	1841	2665
GAB	2022	0	0	1	1	0	0	0	0	0	0	1	0
GMB	2022	0	0	0	1	0	0	0	0	0	0	0	0
GEO	2022	106	168	67	28	64	61	24	70	28	40	71	65
DEU	2022	5339	7780	9561	6088	2208	2466	3666	3251	2149	2881	5169	4984
GHA	2022	2	3	0	0	1	1	3	2	0	0	10	7
GRC	2022	78	150	102	145	25	16	40	49	27	52	41	174
GUM	2022	0	2	0	0	0	0	0	0	0	0	0	0
GRD	2022	0	0	3	0	0	3	2	1	3	1	0	1
GTM	2022	0	3	2	8	0	0		0	0	0	1	2
GNB	2022	0	0	0	0	0	0	0	0	0	0	0	1
GUY	2022	0	0	4	2	0	0	0	1	0	0	1	1
HND	2022	1	2	0	0	0	0	1	0	2	0	2	2
HKG	2022	0	0	0	0	0	0	0	0	0	0	0	1
HTI	2022	0	0	0	1	0	0	0	0	0	0	0	0
HUN	2022	425	502	508	217	33	47	42	17	31	66	136	300
ISL	2022	21	22	18	21	4	23	11	1	2	5	6	29
IND	2022	11751	12744	23216	8678	5562	6810	6031	5340	6493	8862	10167	17350
IDN	2022	75	81	112	56	72	45	30	36	71	70	103	134
IRN	2022	260	303	2235	227	102	79	35	88	214	190	206	362
IRQ	2022	72	171	236	71	120	40	98	59	18	44	39	145
IRL	2022	217	375	746	603	191	137	172	80	52	101	139	243
ISR	2022	707	1587	1007	1228	150	212	404	643	826	557	548	1457
ITA	2022	503	553	730	584	329	506	650	937	352	480	619	1206
JAM	2022	2	0	4	2	0	1	0	1	1	0	0	2
JPN	2022	92	122	226	249	158	148	169	294	226	318	377	708
JOR	2022	224	230	363	135	207	79	242	154	145	181	177	335
KAZ	2022	2041	2821	2598	122	28	22	12	13	27	27	95	262
KEN	2022	19	19	42	20	12	12	5	9	6	15	29	42
not found	2022	2	0	3	3	0	1	1	0	0	1	1	1
KWT	2022	36	204	131	49	118	45	78	53	43	58	41	96
KGZ	2022	125	109	82	22	21	0	1	9	9	30	30	94
LAO	2022	2	9	4	0	0	1	0	3	3	4	0	3
LVA	2022	192	209	375	67	11	12	12	6	10	39	237	135
LBN	2022	87	153	200	305	123	71	108	58	58	88	88	267
LSO	2022	0	0	0	0	2	1	0	0	0	0	0	0
LBR	2022	0	1	1	0	1	0	1	0	0	1	0	0
LBY	2022	0	8	3	0	0	0	2	0	3	5	0	8
LIE	2022	1	1	5	5	3	0	1	0	0	2	1	8
LTU	2022	352	555	466	146	50	32	52	29	21	59	195	158
LUX	2022	11	33	24	63	6	5	16	18	8	9	13	27
MKD	2022	3	29	16	7	1	0	0	0	2	4	3	6
MDG	2022	2	3	4	6	2	9	4	8	3	5	6	10
MWI	2022	0	3	0	0	1	5	0	0	1	0	2	3
MYS	2022	159	147	317	244	153	161	123	135	207	264	350	519
MDV	2022	2401	1532	1910	567	849	1130	1207	957	1314	1943	1626	3444
MLI	2022	0	0	1	0	0	0	0	0	0	1	1	0
MLT	2022	8	15	12	34	10	20	5	15	41	10	5	98
MHL	2022	1	0	0	1	0	0	0	0	0	0	0	0
MRT	2022	0	1	2	0	0	0	1	0	0	0	1	0
MUS	2022	7	14	9	12	7	2	7	3	7	4	17	41
MEX	2022	21	33	43	35	18	12	18	15	13	29	33	64
FSM	2022	0	0	0	0	0	0	0	0	0	0	0	1
MDA	2022	79	56	14	7	6	2	1	1	6	12	20	37
MCO	2022	1	1	4	3	0	0	0	0	0	3	0	31
MNG	2022	14	22	0	1	1	1	4	1	4	3	1	0
MNE	2022	5	13	12	9	2	1	3	1	0	0	7	6
MAR	2022	29	61	90	23	44	20	19	28	10	24	42	56
MOZ	2022	0	2	1	0	2	1	0	0	3	1	2	2
MMR	2022	16	23	19	42	16	11	16	10	33	25	14	27
NAM	2022	2	0	1	10	3	0	2	0	2	0	1	3
NPL	2022	100	97	186	94	39	30	25	50	47	90	126	181
NLD	2022	1141	1232	1422	1575	483	423	2053	1021	473	559	649	956
NZL	2022	112	131	246	329	181	153	239	166	186	244	307	572
NIC	2022	0	0	0	0	0	1	1	0	0	0	1	0
NGA	2022	5	3	3	5	0	0	1	1	1	1	1	6
NER	2022	0	0	0	0	1	0	1	0	0	0	0	0
NOR	2022	521	595	768	587	192	1021	757	295	250	257	332	408
OMN	2022	101	127	93	18	47	35	75	55	26	58	84	157
PAK	2022	610	691	1256	138	214	279	241	286	421	443	783	898
PSE	2022	20	27	55	13	29	21	28	20	15	23	39	76
PAN	2022	2	1	0	0	1	2	4	1	1	0	0	0
PNG	2022	0	1	2	1	0	1	2	1	3	1	1	8
PRY	2022	1	2	0	3	0	0	0	1	0	0	2	1
PER	2022	11	12	13	9	10	1	3	5	3	4	2	14
PHL	2022	109	157	256	246	160	97	149	125	115	162	149	236
POL	2022	3185	4315	3315	1391	203	320	344	261	228	307	802	524
PRT	2022	157	206	341	295	64	128	86	113	95	120	145	156
QAT	2022	4	17	53	5	55	9	38	9	21	15	18	57
ZWE	2022	6	0	1	0	1	0	0	1	0	0	1	0
ROU	2022	528	776	517	475	50	46	64	117	77	110	146	407
RUS	2022	13478	15340	8899	3874	3202	1610	1918	1426	1553	6189	13820	19963
RWA	2022	3	1	0	2	0	0	0	0	0	0	1	2
KNA	2022	4	8	3	3	6	2	3	1	1	4	1	10
SMR	2022	0	0	0	0	0	0	0	0	0	0	0	1
LCA	2022	0	0	0	1	0	0	3	2	0	0	1	0
SAU	2022	1167	861	1397	225	365	281	311	220	118	212	471	324
SEN	2022	1	0	0	0	1	3	0	1	1	1	1	1
SRB	2022	138	158	147	95	7	6	9	13	7	12	27	54
SYC	2022	37	32	16	30	14	9	20	29	27	36	31	66
SLE	2022	0	0	2	2	1	0	1	1	0	3	0	0
SGP	2022	229	283	489	289	209	222	156	182	262	297	432	720
SVK	2022	363	515	462	287	66	47	112	50	38	87	199	206
SVN	2022	68	116	54	106	3	24	80	9	6	33	21	82
SLB	2022	0	0	0	0	0	0	1	0	0	0	0	0
SOM	2022	1	2	4	1	1	0	0	0	1	5	0	3
ZAF	2022	73	161	290	257	64	76	55	51	34	58	125	258
KOR	2022	104	117	200	151	63	102	87	111	138	211	237	322
SSD	2022	0	0	0	0	0	0	1	0	0	0	0	0
ESP	2022	597	744	1112	1447	692	1027	1499	2148	1091	799	748	991
SDN	2022	147	151	156	15	63	21	65	21	36	66	32	45
SUR	2022	0	1	0	2	0	0	0	1	0	1	0	0
SWZ	2022	1	2	0	0	0	0	0	0	0	0	0	1
SWE	2022	683	818	725	464	104	304	209	124	145	220	409	892
CHE	2022	1186	1495	1243	1647	570	665	2207	695	583	889	832	1248
SYR	2022	5	4	1	1	0	1	0	1	0	0	0	1
TWN	2022	13	23	35	16	11	50	16	17	22	24	59	77
TJK	2022	28	36	28	0	2	7	1	3	5	6	11	6
TZA	2022	3	2	16	6	1	3	3	2	2	1	22	24
THA	2022	72	86	156	123	84	131	84	97	89	210	282	311
TLS	2022	0	0	0	0	0	0	0	0	0	0	0	2
TGO	2022	2	0	0	1	1	0	0	0	0	0	0	0
TON	2022	0	0	1	0	0	0	0	0	0	0	0	0
TTO	2022	1	1	3	3	1	0	0	1	1	1	2	8
TUN	2022	30	36	94	28	38	19	11	11	9	23	23	57
TUR	2022	174	166	290	176	66	57	57	42	47	61	154	224
TKM	2022	2	4	3	2	2	0	3	0	0	4	0	9
UGA	2022	3	1	8	6	3	9	3	2	9	2	4	6
UKR	2022	7774	5288	401	158	84	77	58	68	69	136	260	544
ARE	2022	64	53	240	51	191	69	112	110	53	74	123	207
GBR	2022	7442	10642	12908	11539	3723	3368	9257	6776	2872	4275	4506	7879
USA	2022	1829	1855	3114	1872	1368	1647	1469	1105	991	1253	2089	3638
URY	2022	1	6	13	10	1	1	1	2	1	7	3	7
UZB	2022	85	382	563	32	15	21	13	12	13	32	30	44
VUT	2022	1	0	0	0	0	1	0	1	0	2	2	3
VEN	2022	4	2	8	4	1	1	2	0	1	3	2	2
VNM	2022	17	40	46	83	34	43	22	46	41	52	37	58
YEM	2022	24	26	36	3	17	13	13	21	6	8	41	21
ZMB	2022	1	1	1	0	2	1	0	0	1	2	1	16
ZWE	2022	19	3	7	6	13	3	5	0	0	1	5	7
AFG	2023	9	0	0	0	0	0	0	0	0	0	0	0
ALB	2023	6	0	0	0	0	0	0	0	0	0	0	0
DZA	2023	21	0	0	0	0	0	0	0	0	0	0	0
AND	2023	4	0	0	0	0	0	0	0	0	0	0	0
ATG	2023	4	0	0	0	0	0	0	0	0	0	0	0
ARG	2023	76	0	0	0	0	0	0	0	0	0	0	0
ARM	2023	258	0	0	0	0	0	0	0	0	0	0	0
AUS	2023	3668	0	0	0	0	0	0	0	0	0	0	0
AUT	2023	956	0	0	0	0	0	0	0	0	0	0	0
AZE	2023	115	0	0	0	0	0	0	0	0	0	0	0
BHR	2023	134	0	0	0	0	0	0	0	0	0	0	0
BGD	2023	717	0	0	0	0	0	0	0	0	0	0	0
BLR	2023	1204	0	0	0	0	0	0	0	0	0	0	0
BEL	2023	646	0	0	0	0	0	0	0	0	0	0	0
BLZ	2023	1	0	0	0	0	0	0	0	0	0	0	0
BEN	2023	1	0	0	0	0	0	0	0	0	0	0	0
BTN	2023	32	0	0	0	0	0	0	0	0	0	0	0
BIH	2023	10	0	0	0	0	0	0	0	0	0	0	0
BWA	2023	4	0	0	0	0	0	0	0	0	0	0	0
BRA	2023	101	0	0	0	0	0	0	0	0	0	0	0
BGR	2023	134	0	0	0	0	0	0	0	0	0	0	0
KHM	2023	31	0	0	0	0	0	0	0	0	0	0	0
CMR	2023	8	0	0	0	0	0	0	0	0	0	0	0
CAN	2023	3681	0	0	0	0	0	0	0	0	0	0	0
CHL	2023	26	0	0	0	0	0	0	0	0	0	0	0
CHN	2023	835	0	0	0	0	0	0	0	0	0	0	0
COL	2023	36	0	0	0	0	0	0	0	0	0	0	0
COM	2023	3	0	0	0	0	0	0	0	0	0	0	0
CRI	2023	6	0	0	0	0	0	0	0	0	0	0	0
CIV	2023	2	0	0	0	0	0	0	0	0	0	0	0
HRV	2023	84	0	0	0	0	0	0	0	0	0	0	0
CUB	2023	5	0	0	0	0	0	0	0	0	0	0	0
CYP	2023	51	0	0	0	0	0	0	0	0	0	0	0
CZE	2023	960	0	0	0	0	0	0	0	0	0	0	0
DNK	2023	1081	0	0	0	0	0	0	0	0	0	0	0
DMA	2023	8	0	0	0	0	0	0	0	0	0	0	0
DOM	2023	2	0	0	0	0	0	0	0	0	0	0	0
ECU	2023	10	0	0	0	0	0	0	0	0	0	0	0
EGY	2023	127	0	0	0	0	0	0	0	0	0	0	0
SLV	2023	3	0	0	0	0	0	0	0	0	0	0	0
ERI	2023	2	0	0	0	0	0	0	0	0	0	0	0
EST	2023	182	0	0	0	0	0	0	0	0	0	0	0
ETH	2023	8	0	0	0	0	0	0	0	0	0	0	0
FJI	2023	6	0	0	0	0	0	0	0	0	0	0	0
FIN	2023	257	0	0	0	0	0	0	0	0	0	0	0
FRA	2023	4840	0	0	0	0	0	0	0	0	0	0	0
GAB	2023	1	0	0	0	0	0	0	0	0	0	0	0
GEO	2023	164	0	0	0	0	0	0	0	0	0	0	0
DEU	2023	8217	0	0	0	0	0	0	0	0	0	0	0
GHA	2023	1	0	0	0	0	0	0	0	0	0	0	0
GRC	2023	151	0	0	0	0	0	0	0	0	0	0	0
GTM	2023	1	0	0	0	0	0	0	0	0	0	0	0
GIN	2023	1	0	0	0	0	0	0	0	0	0	0	0
HTI	2023	3	0	0	0	0	0	0	0	0	0	0	0
HND	2023	3	0	0	0	0	0	0	0	0	0	0	0
HUN	2023	400	0	0	0	0	0	0	0	0	0	0	0
ISL	2023	33	0	0	0	0	0	0	0	0	0	0	0
IND	2023	13759	0	0	0	0	0	0	0	0	0	0	0
IDN	2023	138	0	0	0	0	0	0	0	0	0	0	0
IRN	2023	435	0	0	0	0	0	0	0	0	0	0	0
IRQ	2023	63	0	0	0	0	0	0	0	0	0	0	0
IRL	2023	244	0	0	0	0	0	0	0	0	0	0	0
ISR	2023	1868	0	0	0	0	0	0	0	0	0	0	0
ITA	2023	1477	0	0	0	0	0	0	0	0	0	0	0
JAM	2023	1	0	0	0	0	0	0	0	0	0	0	0
JPN	2023	744	0	0	0	0	0	0	0	0	0	0	0
JOR	2023	261	0	0	0	0	0	0	0	0	0	0	0
KAZ	2023	470	0	0	0	0	0	0	0	0	0	0	0
KEN	2023	23	0	0	0	0	0	0	0	0	0	0	0
not found	2023	1	0	0	0	0	0	0	0	0	0	0	0
KWT	2023	162	0	0	0	0	0	0	0	0	0	0	0
KGZ	2023	79	0	0	0	0	0	0	0	0	0	0	0
LAO	2023	17	0	0	0	0	0	0	0	0	0	0	0
LVA	2023	171	0	0	0	0	0	0	0	0	0	0	0
LBN	2023	111	0	0	0	0	0	0	0	0	0	0	0
LBR	2023	1	0	0	0	0	0	0	0	0	0	0	0
LBY	2023	4	0	0	0	0	0	0	0	0	0	0	0
LIE	2023	5	0	0	0	0	0	0	0	0	0	0	0
LTU	2023	278	0	0	0	0	0	0	0	0	0	0	0
LUX	2023	35	0	0	0	0	0	0	0	0	0	0	0
MKD	2023	9	0	0	0	0	0	0	0	0	0	0	0
MDG	2023	7	0	0	0	0	0	0	0	0	0	0	0
MWI	2023	2	0	0	0	0	0	0	0	0	0	0	0
MYS	2023	496	0	0	0	0	0	0	0	0	0	0	0
MDV	2023	2203	0	0	0	0	0	0	0	0	0	0	0
MLI	2023	2	0	0	0	0	0	0	0	0	0	0	0
MLT	2023	45	0	0	0	0	0	0	0	0	0	0	0
MRT	2023	1	0	0	0	0	0	0	0	0	0	0	0
MUS	2023	19	0	0	0	0	0	0	0	0	0	0	0
MEX	2023	19	0	0	0	0	0	0	0	0	0	0	0
MDA	2023	66	0	0	0	0	0	0	0	0	0	0	0
MCO	2023	2	0	0	0	0	0	0	0	0	0	0	0
MNG	2023	2	0	0	0	0	0	0	0	0	0	0	0
MNE	2023	20	0	0	0	0	0	0	0	0	0	0	0
MAR	2023	47	0	0	0	0	0	0	0	0	0	0	0
MOZ	2023	5	0	0	0	0	0	0	0	0	0	0	0
MMR	2023	35	0	0	0	0	0	0	0	0	0	0	0
NAM	2023	1	0	0	0	0	0	0	0	0	0	0	0
NPL	2023	292	0	0	0	0	0	0	0	0	0	0	0
NLD	2023	1514	0	0	0	0	0	0	0	0	0	0	0
NZL	2023	394	0	0	0	0	0	0	0	0	0	0	0
NIC	2023	2	0	0	0	0	0	0	0	0	0	0	0
NGA	2023	10	0	0	0	0	0	0	0	0	0	0	0
NOR	2023	698	0	0	0	0	0	0	0	0	0	0	0
OMN	2023	183	0	0	0	0	0	0	0	0	0	0	0
PAK	2023	595	0	0	0	0	0	0	0	0	0	0	0
PSE	2023	28	0	0	0	0	0	0	0	0	0	0	0
PAN	2023	1	0	0	0	0	0	0	0	0	0	0	0
PNG	2023	1	0	0	0	0	0	0	0	0	0	0	0
PRY	2023	2	0	0	0	0	0	0	0	0	0	0	0
PER	2023	8	0	0	0	0	0	0	0	0	0	0	0
PHL	2023	188	0	0	0	0	0	0	0	0	0	0	0
POL	2023	1269	0	0	0	0	0	0	0	0	0	0	0
PRT	2023	230	0	0	0	0	0	0	0	0	0	0	0
QAT	2023	34	0	0	0	0	0	0	0	0	0	0	0
ROU	2023	316	0	0	0	0	0	0	0	0	0	0	0
RUS	2023	25254	0	0	0	0	0	0	0	0	0	0	0
RWA	2023	2	0	0	0	0	0	0	0	0	0	0	0
KNA	2023	3	0	0	0	0	0	0	0	0	0	0	0
LCA	2023	3	0	0	0	0	0	0	0	0	0	0	0
SMR	2023	1	0	0	0	0	0	0	0	0	0	0	0
SAU	2023	340	0	0	0	0	0	0	0	0	0	0	0
SEN	2023	2	0	0	0	0	0	0	0	0	0	0	0
SRB	2023	144	0	0	0	0	0	0	0	0	0	0	0
SYC	2023	21	0	0	0	0	0	0	0	0	0	0	0
SGP	2023	414	0	0	0	0	0	0	0	0	0	0	0
SVK	2023	351	0	0	0	0	0	0	0	0	0	0	0
SVN	2023	146	0	0	0	0	0	0	0	0	0	0	0
SOM	2023	3	0	0	0	0	0	0	0	0	0	0	0
ZAF	2023	125	0	0	0	0	0	0	0	0	0	0	0
KOR	2023	450	0	0	0	0	0	0	0	0	0	0	0
ESP	2023	857	0	0	0	0	0	0	0	0	0	0	0
SDN	2023	61	0	0	0	0	0	0	0	0	0	0	0
SWE	2023	871	0	0	0	0	0	0	0	0	0	0	0
CHE	2023	1769	0	0	0	0	0	0	0	0	0	0	0
TWN	2023	151	0	0	0	0	0	0	0	0	0	0	0
TJK	2023	27	0	0	0	0	0	0	0	0	0	0	0
TZA	2023	9	0	0	0	0	0	0	0	0	0	0	0
THA	2023	279	0	0	0	0	0	0	0	0	0	0	0
TGO	2023	1	0	0	0	0	0	0	0	0	0	0	0
TTO	2023	2	0	0	0	0	0	0	0	0	0	0	0
TUN	2023	43	0	0	0	0	0	0	0	0	0	0	0
TUR	2023	362	0	0	0	0	0	0	0	0	0	0	0
TKM	2023	4	0	0	0	0	0	0	0	0	0	0	0
UGA	2023	9	0	0	0	0	0	0	0	0	0	0	0
UKR	2023	884	0	0	0	0	0	0	0	0	0	0	0
ARE	2023	101	0	0	0	0	0	0	0	0	0	0	0
GBR	2023	8483	0	0	0	0	0	0	0	0	0	0	0
USA	2023	2636	0	0	0	0	0	0	0	0	0	0	0
URY	2023	5	0	0	0	0	0	0	0	0	0	0	0
UZB	2023	152	0	0	0	0	0	0	0	0	0	0	0
VUT	2023	1	0	0	0	0	0	0	0	0	0	0	0
VEN	2023	4	0	0	0	0	0	0	0	0	0	0	0
VNM	2023	117	0	0	0	0	0	0	0	0	0	0	0
YEM	2023	22	0	0	0	0	0	0	0	0	0	0	0
ZMB	2023	6	0	0	0	0	0	0	0	0	0	0	0
ZWE	2023	7	0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
not found	2023		0	0	0	0	0	0	0	0	0	0	0
